Course #	Section #	Course Name	Instructor ID	days	beg_tm	end_tm	Number of Slots	Seating type	 Whiteboard	 Chalkboard	 Computer/Laptop	 Sound System	 CD Player	 DVD Player	 Video Projector	 Hearing Assisted System	 Visual Optimizer	 Laptop Connectivity	 Network Connections	 Overhead Projector	 Podium	 Projector Screen	 TV/Monitors	 Piano
AADS214	1	AFRICA AND AFRICAN DIASPORA	123456	-M-W-F-	920	1030	29	group	y	n	y	y	y	y	n	y	n	y	n	n	n	n	y	y
ANTH101	1	INTRO TO ANTHROPOLOGY	123456	-M-W-F-	800	910	46	group	n	n	n	n	y	y	y	y	n	y	n	y	n	n	n	y
ANTH101	2	INTRO TO ANTHROPOLOGY	123456	--T-R--	1000	1150	46	group	n	n	n	n	y	y	y	y	n	y	n	y	n	n	n	y
ANTH101	3	INTRO TO ANTHROPOLOGY	123456	--T-R--	1400	1550	46	group	n	n	n	n	y	y	y	y	n	y	n	y	n	n	n	y
ANTH201	1	ANTHROPOLOGY TOOLKIT	123456	-M-W-F-	1440	1630	28	individual	n	y	n	y	n	y	n	y	n	y	y	y	y	n	y	y
ANTH243	1	BIOLOGICAL ANTHROPOLOGY	123456	-M-W---	1800	1950	29	group	y	n	y	y	y	y	n	y	n	y	n	n	n	n	y	y
ANTH281	1	ARCHAEOLOGY AND PRE-HISTORY	123456	-M-W-F-	800	910	29	group	y	n	y	y	y	y	n	y	n	y	n	n	n	n	y	y
ANTH337	1	ATLANTIC WORLD ARCHAEOLOGY	123456	-M-W-F-	1040	1150	29	group	y	n	y	y	y	y	n	y	n	y	n	n	n	n	y	y
ANTH348	1	AFRICAN AMERICAN CULTURE	123456	-M-W-F-	1200	1310	29	group	y	n	y	y	y	y	n	y	n	y	n	n	n	n	y	y
ANTH349	1	ANTHROPOLOGICAL THEORY	123456	-M-W-F-	1320	1430	28	individual	n	y	n	y	n	y	n	y	n	y	y	y	y	n	y	y
ANTH357	1	ARCHAEOLOGICAL ANALYSIS/CURATION	123456	--T-R--	1400	1550	28	individual	n	y	n	y	n	y	n	y	n	y	y	y	y	n	y	y
ANTH360	1	KINSHIP & SOCIAL ORGANIZATION	123456	-M-W-F-	920	1030	28	individual	n	y	n	y	n	y	n	y	n	y	y	y	y	n	y	y
ANTH385	1	ANTHROPOLOGICAL RESEARCH METHODS	123456	--T-R--	800	950	29	group	y	n	y	y	y	y	n	y	n	y	n	n	n	n	y	y
ART105	1	INTRO TO VISUAL THINKING	123456	-M-W---	1440	1630	37	individual	n	n	y	y	y	y	n	n	n	n	n	n	y	y	n	n
ART204	2	INTRO TO DRAWING	123456	--T-R--	1320	1550	15	individual	n	y	y	n	y	y	y	y	n	y	n	n	y	n	n	n
ART206	1	INTRO TO PAINTING	123456	-M-W---	1320	1550	19	group	y	n	y	n	n	n	y	y	y	n	y	n	n	n	n	n
ART208	1	INTRO TO SCULPTURE	123456	-M-W---	1130	1400	13	individual	y	y	n	y	n	y	y	y	n	y	n	n	n	n	n	y
ART212	1	INTRO PHOTOGRAPHY	123456	--T-R--	920	1150	23	individual	n	y	y	n	n	y	n	y	n	y	y	y	y	n	n	y
ART212	2	INTRO PHOTOGRAPHY	123456	--T-R--	1320	1550	23	individual	n	y	y	n	n	y	n	y	n	y	y	y	y	n	n	y
ART214	1	INTRO TO DIGITAL MEDIA ART	123456	-M-W---	920	1150	23	individual	n	y	y	n	n	y	n	y	n	y	y	y	y	n	n	y
ART214	2	INTRO TO DIGITAL MEDIA ART	123456	-M-W---	1800	2030	23	individual	n	y	y	n	n	y	n	y	n	y	y	y	y	n	n	y
ART233	2	TOPICS IN STUDIO ART:Digital Media	123456	-M-W---	1800	2030	23	individual	n	y	y	n	n	y	n	y	n	y	y	y	y	n	n	y
ART233	1	TOPICS IN STUDIO ART:Photography	123456	-M-W---	1800	2030	37	individual	n	n	y	y	y	y	n	n	n	n	n	n	y	y	n	n
ART304	1	ADVANCED DRAWING	123456	--T-R--	1800	2030	15	individual	n	y	y	n	y	y	y	y	n	y	n	n	y	n	n	n
ART314	1	ADVANCED DIGITAL ART	123456	-M-W---	1320	1550	23	individual	n	y	y	n	n	y	n	y	n	y	y	y	y	n	n	y
ART338	1	ADV TOP: FIGURE SCULPTURE	123456	-M-W---	830	1100	13	individual	y	y	n	y	n	y	y	y	n	y	n	n	n	n	n	y
