Course #,Section #,Course Name,bldg,bldg_txt,room,beg_date,end_date,beg_tm,end_tm,days
AADS214,1,AFRICA AND AFRICAN DIASPORA,AAH,Anne Arundel Hall,W104,8/29/16,12/16/16,920,1030,-M-W-F-
ANTH101,1,INTRO TO ANTHROPOLOGY,AAH,Anne Arundel Hall,W209,8/29/16,12/16/16,800,910,-M-W-F-
ANTH101,2,INTRO TO ANTHROPOLOGY,AAH,Anne Arundel Hall,W209,8/29/16,12/16/16,1000,1150,--T-R--
ANTH101,3,INTRO TO ANTHROPOLOGY,AAH,Anne Arundel Hall,W209,8/29/16,12/16/16,1400,1550,--T-R--
ANTH201,1,ANTHROPOLOGY TOOLKIT,AAH,Anne Arundel Hall,W115,8/29/16,12/16/16,1440,1630,-M-W-F-
ANTH243,1,BIOLOGICAL ANTHROPOLOGY,AAH,Anne Arundel Hall,W104,8/29/16,12/16/16,1800,1950,-M-W---
ANTH281,1,ARCHAEOLOGY AND PRE-HISTORY,AAH,Anne Arundel Hall,W104,8/29/16,12/16/16,800,910,-M-W-F-
ANTH337,1,ATLANTIC WORLD ARCHAEOLOGY,AAH,Anne Arundel Hall,W104,8/29/16,12/15/16,1040,1150,-M-W-F-
ANTH348,1,AFRICAN AMERICAN CULTURE,AAH,Anne Arundel Hall,W104,8/29/16,12/15/16,1200,1310,-M-W-F-
ANTH349,1,ANTHROPOLOGICAL THEORY,AAH,Anne Arundel Hall,W115,8/29/16,12/16/16,1320,1430,-M-W-F-
ANTH357,1,ARCHAEOLOGICAL ANALYSIS/CURATION,AAH,Anne Arundel Hall,W115,8/29/16,12/15/16,1400,1550,--T-R--
ANTH360,1,KINSHIP & SOCIAL ORGANIZATION,AAH,Anne Arundel Hall,W115,8/29/16,12/15/16,920,1030,-M-W-F-
ANTH385,1,ANTHROPOLOGICAL RESEARCH METHODS,AAH,Anne Arundel Hall,W104,8/29/16,12/16/16,800,950,--T-R--
ART105,1,INTRO TO VISUAL THINKING,MH,Montgomery Hall,105,8/29/16,12/16/16,1440,1630,-M-W---
ART204,2,INTRO TO DRAWING,MH,Montgomery Hall,129,8/29/16,12/16/16,1320,1550,--T-R--
ART206,1,INTRO TO PAINTING,MH,Montgomery Hall,132,8/29/16,12/15/16,1320,1550,-M-W---
