Course #,Section #,Course Name,Instructor id,days,beg_tm,end_tm,Number of Slots,Seating type, Whiteboard, Chalkboard, Computer/Laptop, Sound System, CD Player, DVD Player, Video Projector, Hearing Assisted System, Visual Optimizer, Laptop Connectivity, Network Connections, Overhead Projector, Podium, Projector Screen, TV/Monitors, Piano
AADS214,1,AFRICA AND AFRICAN DIASPORA,123456,-M-W-F-,920,1030,,,,,,,,,,,,,,,,,,
ANTH101,1,INTRO TO ANTHROPOLOGY,123456,-M-W-F-,800,910,,,,,,,,,,,,,,,,,,
ANTH101,2,INTRO TO ANTHROPOLOGY,123456,--T-R--,1000,1150,,,,,,,,,,,,,,,,,,
ANTH101,3,INTRO TO ANTHROPOLOGY,123456,--T-R--,1400,1550,,,,,,,,,,,,,,,,,,
ANTH201,1,ANTHROPOLOGY TOOLKIT,123456,-M-W-F-,1440,1630,,,,,,,,,,,,,,,,,,
ANTH243,1,BIOLOGICAL ANTHROPOLOGY,123456,-M-W---,1800,1950,,,,,,,,,,,,,,,,,,
ANTH281,1,ARCHAEOLOGY AND PRE-HISTORY,123456,-M-W-F-,800,910,,,,,,,,,,,,,,,,,,
ANTH337,1,ATLANTIC WORLD ARCHAEOLOGY,123456,-M-W-F-,1040,1150,,,,,,,,,,,,,,,,,,
ANTH348,1,AFRICAN AMERICAN CULTURE,123456,-M-W-F-,1200,1310,,,,,,,,,,,,,,,,,,
ANTH349,1,ANTHROPOLOGICAL THEORY,123456,-M-W-F-,1320,1430,,,,,,,,,,,,,,,,,,
ANTH357,1,ARCHAEOLOGICAL ANALYSIS/CURATION,123456,--T-R--,1400,1550,,,,,,,,,,,,,,,,,,
ANTH360,1,KINSHIP & SOCIAL ORGANIZATION,123456,-M-W-F-,920,1030,,,,,,,,,,,,,,,,,,
ANTH385,1,ANTHROPOLOGICAL RESEARCH METHODS,123456,--T-R--,800,950,,,,,,,,,,,,,,,,,,
ART105,1,INTRO TO VISUAL THINKING,123456,-M-W---,1440,1630,,,,,,,,,,,,,,,,,,
ART204,2,INTRO TO DRAWING,123456,--T-R--,1320,1550,,,,,,,,,,,,,,,,,,
ART206,1,INTRO TO PAINTING,123456,-M-W---,1320,1550,,,,,,,,,,,,,,,,,,
ART208,1,INTRO TO SCULPTURE,123456,-M-W---,1130,1400,,,,,,,,,,,,,,,,,,
ART212,1,INTRO PHOTOGRAPHY,123456,--T-R--,920,1150,,,,,,,,,,,,,,,,,,
ART212,2,INTRO PHOTOGRAPHY,123456,--T-R--,1320,1550,,,,,,,,,,,,,,,,,,
ART214,1,INTRO TO DIGITAL MEDIA ART,123456,-M-W---,920,1150,,,,,,,,,,,,,,,,,,
ART214,2,INTRO TO DIGITAL MEDIA ART,123456,-M-W---,1800,2030,,,,,,,,,,,,,,,,,,
ART233,1,TOPICS IN STUDIO ART:Photography,123456,-M-W---,1800,2030,,,,,,,,,,,,,,,,,,
ART233,2,TOPICS IN STUDIO ART:Digital Media,123456,-M-W---,1800,2030,,,,,,,,,,,,,,,,,,
ART304,1,ADVANCED DRAWING,123456,--T-R--,1800,2030,,,,,,,,,,,,,,,,,,
ART314,1,ADVANCED DIGITAL ART,123456,-M-W---,1320,1550,,,,,,,,,,,,,,,,,,
ART338,1,ADV TOP: FIGURE SCULPTURE,123456,-M-W---,830,1100,,,,,,,,,,,,,,,,,,
ART347,1,ADV TOP: BOOK ARTS,123456,--T-R--,920,1150,,,,,,,,,,,,,,,,,,
ART369,1,ART FOR EDUCATORS,123456,--T-R--,920,1150,,,,,,,,,,,,,,,,,,
ART493,1,ST MARYS PROJ STU ART I,123456,--T-R--,1320,1550,,,,,,,,,,,,,,,,,,
ARTH100,1,INTRO TO ART HISTORY,123456,--T-R--,1400,1550,,,,,,,,,,,,,,,,,,
ARTH224,1,ANCIENT AMER ART/ARCHITECTURE,123456,--T-R--,1000,1150,,,,,,,,,,,,,,,,,,
ARTH255,1,TOPICS IN GLOBAL ART HISTORY:Art in the Age of Discovery,123456,--T-R--,800,950,,,,,,,,,,,,,,,,,,
ARTH316,1,MOD ART: 1850-1945,123456,-M-W---,1440,1630,,,,,,,,,,,,,,,,,,
ARTH321,1,ART/ARCHITECTURE ANCIENT MAYA,123456,--T-R--,1200,1350,,,,,,,,,,,,,,,,,,
ARTH450,1,ADVANCED SEMINAR IN ART HISTORY:Studio of One's Own-Women/Art,123456,--T-R--,1000,1150,,,,,,,,,,,,,,,,,,
ARTH470,1,CRIT APPROACHES ANALYSIS OF ART,123456,---W---,1800,2140,,,,,,,,,,,,,,,,,,
ASIA200,1,INTRO TO ASIAN STUDIES,123456,-M-W---,1440,1630,,,,,,,,,,,,,,,,,,
ASIA305,1,CHINESE CINEMA,123456,-M-W---,1440,1630,,,,,,,,,,,,,,,,,,
ASTR155,1,STELLAR ASTRONOMY AND COSMOLOGY,123456,--T-R--,1400,1550,,,,,,,,,,,,,,,,,,
ASTR155L,1,ASTRONOMY LAB,123456,-----F-,920,1150,,,,,,,,,,,,,,,,,,
ASTR155L,2,ASTRONOMY LAB,123456,-----F-,1320,1550,,,,,,,,,,,,,,,,,,
BIOL101,1,CONTEMPORARY BIOSCIENCE W/LAB,123456,--T-R--,1000,1150,,,,,,,,,,,,,,,,,,
BIOL101,1,CONTEMPORARY BIOSCIENCE W/LAB,123456,--T----,1300,1550,,,,,,,,,,,,,,,,,,
BIOL101,2,CONTEMPORARY BIOSCIENCE W/LAB,123456,---W---,1320,1610,,,,,,,,,,,,,,,,,,
BIOL101,2,CONTEMPORARY BIOSCIENCE W/LAB,123456,--T-R--,1400,1550,,,,,,,,,,,,,,,,,,
BIOL101,3,CONTEMPORARY BIOSCIENCE W/LAB,123456,-M-W---,1440,1630,,,,,,,,,,,,,,,,,,
BIOL101,3,CONTEMPORARY BIOSCIENCE W/LAB,123456,----R--,1300,1550,,,,,,,,,,,,,,,,,,
BIOL105,1,PRINCIPLES OF BIOLOGY I,123456,-M-W---,800,910,,,,,,,,,,,,,,,,,,
BIOL105,1,PRINCIPLES OF BIOLOGY I,123456,-----F-,800,910,,,,,,,,,,,,,,,,,,
BIOL105,2,PRINCIPLES OF BIOLOGY I,123456,-----F-,800,910,,,,,,,,,,,,,,,,,,
BIOL105,2,PRINCIPLES OF BIOLOGY I,123456,-M-W---,800,910,,,,,,,,,,,,,,,,,,
BIOL105,3,PRINCIPLES OF BIOLOGY I,123456,-----F-,920,1030,,,,,,,,,,,,,,,,,,
BIOL105,3,PRINCIPLES OF BIOLOGY I,123456,-M-W---,920,1030,,,,,,,,,,,,,,,,,,
BIOL105,4,PRINCIPLES OF BIOLOGY I,123456,-----F-,920,1030,,,,,,,,,,,,,,,,,,
BIOL105,4,PRINCIPLES OF BIOLOGY I,123456,-M-W---,920,1030,,,,,,,,,,,,,,,,,,
BIOL105,5,PRINCIPLES OF BIOLOGY I,123456,-M-W---,1040,1150,,,,,,,,,,,,,,,,,,
BIOL105,5,PRINCIPLES OF BIOLOGY I,123456,-----F-,1040,1150,,,,,,,,,,,,,,,,,,
BIOL105,6,PRINCIPLES OF BIOLOGY I,123456,-M-W---,1040,1150,,,,,,,,,,,,,,,,,,
BIOL105,6,PRINCIPLES OF BIOLOGY I,123456,-----F-,1040,1150,,,,,,,,,,,,,,,,,,
BIOL105L,1,PRIN OF BIOL I LAB,123456,-M-----,1320,1610,,,,,,,,,,,,,,,,,,
BIOL105L,2,PRIN OF BIOL I LAB,123456,--T----,830,1120,,,,,,,,,,,,,,,,,,
BIOL105L,3,PRIN OF BIOL I LAB,123456,--T----,1300,1550,,,,,,,,,,,,,,,,,,
BIOL105L,4,PRIN OF BIOL I LAB,123456,---W---,1320,1610,,,,,,,,,,,,,,,,,,
BIOL105L,5,PRIN OF BIOL I LAB,123456,---W---,1800,2050,,,,,,,,,,,,,,,,,,
BIOL105L,6,PRIN OF BIOL I LAB,123456,----R--,830,1120,,,,,,,,,,,,,,,,,,
BIOL105L,7,PRIN OF BIOL I LAB,123456,----R--,1300,1550,,,,,,,,,,,,,,,,,,
BIOL109,1,EMERGING SCHOLARS PROGRAM,123456,-M-----,1800,2050,,,,,,,,,,,,,,,,,,
BIOL270,1,GENETICS,123456,-M-W-F-,920,1030,,,,,,,,,,,,,,,,,,
BIOL270,2,GENETICS,123456,-M-W-F-,1040,1150,,,,,,,,,,,,,,,,,,
BIOL270L,1,GENETICS LAB,123456,-M-----,1320,1610,,,,,,,,,,,,,,,,,,
BIOL270L,2,GENETICS LAB,123456,--T----,1300,1550,,,,,,,,,,,,,,,,,,
BIOL270L,3,GENETICS LAB,123456,---W---,1320,1610,,,,,,,,,,,,,,,,,,
BIOL270L,4,GENETICS LAB,123456,----R--,1300,1550,,,,,,,,,,,,,,,,,,
BIOL303,1,INVERTEBRATE ZOOLOGY,123456,-M-W-F-,1040,1150,,,,,,,,,,,,,,,,,,
BIOL303,1,INVERTEBRATE ZOOLOGY,123456,-M-----,1320,1610,,,,,,,,,,,,,,,,,,
BIOL305,1,ANIMAL BEHAVIOR,123456,---W---,1320,1610,,,,,,,,,,,,,,,,,,
BIOL305,1,ANIMAL BEHAVIOR,123456,-M-W-F-,800,910,,,,,,,,,,,,,,,,,,
BIOL311,1,BIOSTATISTICS,123456,--T----,1300,1550,,,,,,,,,,,,,,,,,,
BIOL311,1,BIOSTATISTICS,123456,--T-R--,1000,1150,,,,,,,,,,,,,,,,,,
BIOL330,1,HUMAN ANATOMY & PHYSIOLOGY,123456,--T-R--,800,950,,,,,,,,,,,,,,,,,,
BIOL330L,1,HUMAN ANATOMY/PHYSIOLOGY LAB,123456,---W---,1320,1610,,,,,,,,,,,,,,,,,,
