Course #	Section #	Course Name	Instructor id	days	beg_tm	end_tm	Number of Slots	Seating type	 Whiteboard	 Chalkboard	 Computer/Laptop	 Sound System	 CD Player	 DVD Player	 Video Projector	 Hearing Assisted System	 Visual Optimizer	 Laptop Connectivity	 Network Connections	 Overhead Projector	 Podium	 Projector Screen	 TV/Monitors	 Piano
AADS214	1	AFRICA AND AFRICAN DIASPORA	123457	-M-W-F-	920	1030	30	group																
ANTH101	1	INTRO TO ANTHROPOLOGY	123457	-M-W-F-	800	910	30	group																
ANTH101	2	"INTRO TO, ANTHROPOLOGY"	123457	--T-R--	1000	1150	30	group																
ANTH101	3	INTRO TO ANTHROPOLOGY	123456	--T-R--	1400	1550	30	group																
ANTH201	1	ANTHROPOLOGY TOOLKIT	123456	-M-W-F-	1440	1630	30	group																
ANTH243	1	BIOLOGICAL ANTHROPOLOGY	123456	-M-W---	1800	1950	30	group																
ANTH281	1	ARCHAEOLOGY AND PRE-HISTORY	123456	-M-W-F-	800	910	30	group																
ANTH337	1	"ATLANTIC WORLD, ARCHAEOLOGY"	123456	-M-W-F-	1040	1150	30	group																
ANTH348	1	AFRICAN AMERICAN CULTURE	123456	-M-W-F-	1200	1310	30	group																
ANTH349	1	ANTHROPOLOGICAL THEORY	123456	-M-W-F-	1320	1430	30	group																
ANTH357	1	ARCHAEOLOGICAL ANALYSIS/CURATION	123456	--T-R--	1400	1550	30	group																
ANTH360	1	KINSHIP & SOCIAL ORGANIZATION	123456	-M-W-F-	920	1030	30	group																
ANTH385	1	ANTHROPOLOGICAL RESEARCH METHODS	123456	--T-R--	800	950	30	group																
ART105	1	INTRO TO VISUAL THINKING	123456	-M-W---	1440	1630	30	group																
ART204	2	INTRO TO DRAWING	123456	--T-R--	1320	1550	30	group																
ART206	1	INTRO TO PAINTING	123456	-M-W---	1320	1550	30	group																
ART208	1	INTRO TO SCULPTURE	123456	-M-W---	1130	1400	30	group																
ART212	1	INTRO PHOTOGRAPHY	123456	--T-R--	920	1150	30	group																
ART212	2	INTRO PHOTOGRAPHY	123456	--T-R--	1320	1550	30	group																
ART214	1	INTRO TO DIGITAL MEDIA ART	123456	-M-W---	920	1150	30	group																
ART214	2	INTRO TO DIGITAL MEDIA ART	123456	-M-W---	1800	2030	30	group																
ART233	1	TOPICS IN STUDIO ART:Photography	123456	-M-W---	1800	2030	30	group																
ART233	2	TOPICS IN STUDIO ART:Digital Media	123456	-M-W---	1800	2030	30	group																
ART304	1	ADVANCED DRAWING	123456	--T-R--	1800	2030	30	group																
ART314	1	ADVANCED DIGITAL ART	123456	-M-W---	1320	1550	30	group																
ART338	1	ADV TOP: FIGURE SCULPTURE	123456	-M-W---	830	1100	30	group																
ART347	1	ADV TOP: BOOK ARTS	123456	--T-R--	920	1150	30	group																
