bldg	room	Number of Slots	Seating type	 Whiteboard	 Chalkboard	 Computer/Laptop	 Sound System	 CD Player	 DVD Player	 Video Projector	 Hearing Assisted System	 Visual Optimizer	 Laptop Connectivity	 Network Connections	 Overhead Projector	 Podium	 Projector Screen	 TV/Monitors	 Piano
AAH	N001	35	individual	y	n	y	n	y	n	n	y	y	y	n	y	n	y	n	y
AAH	N109	31	group	y	n	y	y	n	y	n	y	y	n	n	n	y	y	y	n
AAH	N110	5	individual	y	n	y	n	y	y	n	y	y	y	n	y	y	n	n	y
AAH	N111	28	group	y	y	y	n	n	n	y	y	n	n	y	n	y	n	y	n
AAH	N204	36	individual	y	y	y	n	n	y	n	y	y	n	y	y	y	n	y	n
AAH	W104	29	group	y	n	y	y	y	y	n	y	n	y	n	n	n	n	y	y
AAH	W115	28	individual	n	y	n	y	n	y	n	y	n	y	y	y	y	n	y	y
AAH	W209	46	group	n	n	n	n	y	y	y	y	n	y	n	y	n	n	n	y
ARC		27	individual	n	n	y	n	y	y	y	y	y	n	n	y	n	y	n	y
BH		21	group	y	n	y	y	y	y	y	n	y	y	y	y	n	y	y	n
CH	4	42	individual	n	n	n	n	n	n	n	y	y	y	y	n	y	y	n	y
GH		46	individual	n	n	y	y	y	n	y	y	n	n	n	y	n	n	n	y
GH	109	31	group	n	y	n	y	n	y	n	y	n	n	n	y	n	n	n	n
GH	117	29	individual	y	n	y	y	n	y	n	n	n	n	y	n	n	y	y	y
GH	184	17	group	y	y	y	n	n	n	y	n	y	n	y	n	y	n	n	n
GH	185	48	individual	y	y	y	y	y	n	y	n	n	y	n	y	n	n	n	y
GH	186	30	group	n	y	y	y	n	n	n	n	n	n	y	y	y	y	n	n
GH	195	47	individual	y	y	y	y	y	n	n	y	n	n	y	y	n	y	y	y
GH	197	27	group	n	n	n	y	y	n	y	n	n	n	y	y	n	y	y	y
GH	198	30	individual	y	y	y	n	y	n	n	y	y	n	n	y	y	y	n	y
GH	200	33	group	y	y	n	y	y	n	y	y	y	y	y	n	y	y	n	y
GH	207	15	individual	n	n	y	n	n	n	y	y	n	y	n	y	n	n	y	y
GH	216	35	group	n	y	y	n	y	n	y	y	n	y	y	y	n	y	n	y
GH	230	37	individual	n	n	n	y	n	y	n	n	n	n	y	y	n	y	n	y
GH	237	49	group	n	n	y	y	n	n	y	n	n	y	n	n	y	n	y	y
GH	60	15	group	n	n	n	y	y	y	y	y	y	n	n	y	n	n	n	n
GH	70	13	individual	n	n	y	n	y	y	y	n	n	n	y	n	n	y	n	n
GH	72	43	group	n	n	n	n	n	n	n	y	n	y	y	n	y	y	y	y
GH	81	43	individual	n	y	n	n	y	y	n	n	y	y	n	y	y	y	y	y
KH	115	47	group	n	y	y	y	y	n	n	n	n	n	n	y	y	n	n	y
KH	120	16	individual	n	n	n	y	y	y	n	y	y	y	y	n	n	n	n	y
KH	212	29	group	y	n	n	n	y	n	y	n	n	n	y	y	n	y	n	n
KH	213	12	individual	n	n	y	y	y	y	y	n	n	y	y	y	y	y	n	n
KH	222	36	group	n	n	y	y	n	y	y	n	y	n	y	n	y	n	n	n
KH	311	11	individual	y	y	y	n	y	n	y	y	y	y	y	y	y	y	y	n
KH	312	41	group	y	n	n	y	y	y	n	n	n	y	n	y	y	n	n	y
KH	316	9	individual	n	y	n	y	n	n	n	y	y	n	n	y	y	y	y	n
KH	317	25	group	n	y	y	y	n	y	n	n	y	y	n	y	n	n	y	y
LI	114	17	individual	n	y	n	y	y	y	y	y	n	n	y	y	n	n	y	n
LI	115	30	group	y	n	y	y	y	n	n	n	y	y	n	y	y	n	y	n
